id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;operatorname;shortname;bookingrules;mode;pointgeo;nom_commune;code_insee
IDFM:C01727;C;IDFM:monomodalStopPlace:43159;Marolles-en-Hurepoix;2.290908349251896;48.56564453550255;SNCF;C;;RapidTransit;48.56564453550255, 2.290908349251896;Marolles-en-Hurepoix;91376
IDFM:C01727;C;IDFM:monomodalStopPlace:47927;Gare de Chamarande;2.2151562718541644;48.51405318948937;SNCF;C;;RapidTransit;48.51405318948937, 2.2151562718541644;Chamarande;91132
IDFM:C01727;C;IDFM:monomodalStopPlace:43081;Étréchy;2.1947692381982216;48.49387742150091;SNCF;C;;RapidTransit;48.49387742150091, 2.1947692381982216;Étréchy;91226
IDFM:C01727;C;IDFM:monomodalStopPlace:44787;Rungis la Fraternelle;2.3521980873905326;48.74021613668418;SNCF;C;;RapidTransit;48.74021613668418, 2.3521980873905326;Rungis;94065
IDFM:C01727;C;IDFM:monomodalStopPlace:58774;Massy - Palaiseau;2.2587677282577334;48.72551907437078;SNCF;C;;RapidTransit;48.72551907437078, 2.2587677282577334;Massy;91377
IDFM:C01727;C;IDFM:monomodalStopPlace:43219;Versailles Chantiers;2.1349078603373464;48.79526039893613;SNCF;C;;RapidTransit;48.79526039893613, 2.1349078603373464;Versailles;78646
IDFM:C01727;C;IDFM:monomodalStopPlace:43084;Issy;2.257883547622023;48.81933737870203;SNCF;C;;RapidTransit;48.81933737870203, 2.257883547622023;Issy-les-Moulineaux;92040
IDFM:C01727;C;IDFM:monomodalStopPlace:43099;Breuillet Village;2.170354257290333;48.56433413404574;SNCF;C;;RapidTransit;48.56433413404574, 2.170354257290333;Breuillet;91105
IDFM:C01727;C;IDFM:monomodalStopPlace:415484;Égly;2.2234625238542307;48.582715781664064;SNCF;C;;RapidTransit;48.582715781664064, 2.2234625238542307;Égly;91207
IDFM:C01727;C;IDFM:monomodalStopPlace:43180;Pierrelaye;2.1545313948758564;49.01917957374756;SNCF;C;;RapidTransit;49.01917957374756, 2.1545313948758564;Pierrelaye;95488
IDFM:C01727;C;IDFM:monomodalStopPlace:44411;Pontoise;2.0957859968423524;49.04673337596684;SNCF;C;;RapidTransit;49.04673337596684, 2.0957859968423524;Pontoise;95500
IDFM:C01727;C;IDFM:monomodalStopPlace:43166;Montigny - Beauchamp;2.1965151756043033;49.007744118117;SNCF;C;;RapidTransit;49.007744118117, 2.1965151756043033;Pierrelaye;95488
IDFM:C01727;C;IDFM:monomodalStopPlace:43230;Les Grésillons;2.313901968217972;48.9206901983449;SNCF;C;;RapidTransit;48.9206901983449, 2.313901968217972;Gennevilliers;92036
IDFM:C01727;C;IDFM:monomodalStopPlace:415093;Neuilly - Porte Maillot;2.284217509613705;48.878347804048644;SNCF;C;;RapidTransit;48.878347804048644, 2.284217509613705;Paris;75056
IDFM:C01727;C;IDFM:monomodalStopPlace:470540;Invalides;2.3126576509104404;48.8627130056211;SNCF;C;;RapidTransit;48.8627130056211, 2.3126576509104404;Paris;75056
IDFM:C01727;C;IDFM:monomodalStopPlace:44877;Saint-Michel Notre-Dame;2.344959780029387;48.853023793740164;SNCF;C;;RapidTransit;48.853023793740164, 2.344959780029387;Paris;75056
IDFM:C01727;C;IDFM:monomodalStopPlace:45301;Bibliothèque François Mitterrand;2.377758552865005;48.8288801225864;SNCF;C;;RapidTransit;48.8288801225864, 2.377758552865005;Paris;75056
